Time Calculated_Distance Actual_Distance Error Mode
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:15 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 34.6308524902186 34.1 0.5308524902185994 static
13:27:16 33.38651230982246 34.1 0.7134876901775442 static
13:27:16 33.38651230982246 34.1 0.7134876901775442 static
13:27:17 34.6308524902186 34.1 0.5308524902185994 static
13:27:17 34.942427178451304 34.1 0.8424271784513024 static
13:27:17 34.942427178451304 34.1 0.8424271784513024 static
13:27:17 34.942427178451304 34.1 0.8424271784513024 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 32.676160984081555 34.1 1.4238390159184462 static
13:27:17 34.942427178451304 34.1 0.8424271784513024 static
13:27:17 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 34.6308524902186 34.1 0.5308524902185994 static
13:27:18 34.6308524902186 34.1 0.5308524902185994 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 34.6308524902186 34.1 0.5308524902185994 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 33.38651230982246 34.1 0.7134876901775442 static
13:27:18 34.6308524902186 34.1 0.5308524902185994 static
13:27:18 34.6308524902186 34.1 0.5308524902185994 static
13:27:18 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 34.6308524902186 34.1 0.5308524902185994 static
13:27:19 33.38651230982246 34.1 0.7134876901775442 static
13:27:19 33.38651230982246 34.1 0.7134876901775442 static
13:27:19 33.38651230982246 34.1 0.7134876901775442 static
13:27:19 33.38651230982246 34.1 0.7134876901775442 static
13:27:20 33.38651230982246 34.1 0.7134876901775442 static
13:27:20 33.38651230982246 34.1 0.7134876901775442 static
13:27:20 34.6308524902186 34.1 0.5308524902185994 static
13:27:20 34.6308524902186 34.1 0.5308524902185994 static
13:27:20 34.6308524902186 34.1 0.5308524902185994 static
13:27:20 34.6308524902186 34.1 0.5308524902185994 static
13:27:20 34.6308524902186 34.1 0.5308524902185994 static
13:27:20 34.6308524902186 34.1 0.5308524902185994 static
